Speaker Roles,Transcription
AGENT,"你好，我姓陈，余先生，请问有咩帮到你？"
CUSTOMER,"喂你好。"
CUSTOMER,"有呀，我啱啱收到个 notification 话，我迟咗交卡数，再打嚟睇吓可唔可以 waive 番啲。"
AGENT,"我依家帮你睇一睇，不过都提一提番，迟交费用同财务费用一般会按账单情况计算。"
CUSTOMER,"唔该你。"
AGENT,"系，余先生你好。我呢边睇到你张卡而家已经处于逾期状态，不过如果尽快安排入数，我可以帮你备注申请豁免。"
CUSTOMER,"Hi, um hm."
AGENT,"如果已经安排入数，就唔需要理会我哋银行电话信件嗰个通知。"
AGENT,"我而家同你 mark 番低呢个纪录，收到有关入数之后会帮你递交豁免申请。"
CUSTOMER,"Ok。"
AGENT,"假设一到两个工作天内未能够收到有关入数，本次豁免申请就未必能够生效。"
CUSTOMER,"Ok，咁我几时会知道结果？"
AGENT,"直接留意下一期月结单就可以，如果成功豁免会直接反映喺你个信用卡户口。"
CUSTOMER,"哦，下一期先见到，明白。"
AGENT,"系，多谢你今日来电，有需要再联络，拜拜。"
CUSTOMER,"好，拜拜。"
